draw,rows,mode,patterns,auc
13,130,duplicated,74,0.7636554621848739
13,160,distinct,160,0.657563025210084
13,160,duplicated,80,0.7415966386554622
13,186,distinct,186,0.6869747899159664
13,186,duplicated,102,0.6796218487394958
14,20,distinct,20,0.477533960292581
14,20,duplicated,19,0.43573667711598746
14,40,distinct,40,0.644723092998955
14,40,duplicated,35,0.7074190177638453
14,60,distinct,60,0.6280041797283177
14,60,duplicated,50,0.6603970741901776
14,80,distinct,80,0.61337513061651
14,80,duplicated,57,0.6844305120167189
14,100,distinct,100,0.5851619644723093
14,100,duplicated,69,0.6645768025078369
14,130,distinct,130,0.6603970741901777
14,130,duplicated,92,0.67816091954023
14,160,distinct,160,0.6374085684430512
14,160,duplicated,93,0.6698014629049112
14,186,distinct,186,0.6478578892371996
14,186,duplicated,113,0.7335423197492164
15,20,distinct,20,0.5661375661375662
15,20,duplicated,19,0.5767195767195766
15,40,distinct,40,0.6412698412698412
15,40,duplicated,31,0.6126984126984127
15,60,distinct,60,0.6137566137566137
15,60,duplicated,46,0.584126984126984
15,80,distinct,80,0.6105820105820106
15,80,duplicated,63,0.5703703703703704
15,100,distinct,100,0.602116402116402
15,100,duplicated,71,0.602116402116402
15,130,distinct,130,0.6518518518518519
15,130,duplicated,85,0.6698412698412698
15,160,distinct,160,0.6222222222222222
15,160,duplicated,94,0.6370370370370371
15,186,distinct,186,0.6423280423280423
15,186,duplicated,100,0.6687830687830687
16,20,distinct,20,0.5806451612903225
16,20,duplicated,18,0.5244536940686784
16,40,distinct,40,0.6420395421436005
16,40,duplicated,34,0.5473465140478668
16,60,distinct,60,0.6472424557752341
16,60,duplicated,42,0.5744016649323621
16,80,distinct,80,0.6253902185223725
16,80,duplicated,60,0.6649323621227887
16,100,distinct,100,0.7117585848074922
16,100,duplicated,67,0.5879292403746098
16,130,distinct,130,0.6399583766909469
16,130,duplicated,83,0.6056191467221644
16,160,distinct,160,0.6836628511966703
16,160,duplicated,92,0.5983350676378772
16,186,distinct,186,0.704474505723205
16,186,duplicated,90,0.6597294484911551
17,20,distinct,20,0.6470588235294117
17,20,duplicated,20,0.6670168067226891
17,40,distinct,40,0.6670168067226891
17,40,duplicated,34,0.6995798319327731
17,60,distinct,60,0.6418067226890756
17,60,duplicated,46,0.6376050420168067
17,80,distinct,80,0.7216386554621849
17,80,duplicated,60,0.7195378151260504
17,100,distinct,100,0.6523109243697479
17,100,duplicated,61,0.6838235294117647
17,130,distinct,130,0.6365546218487396
17,130,duplicated,81,0.6911764705882353
17,160,distinct,160,0.6691176470588235
17,160,duplicated,94,0.7048319327731093
17,186,distinct,186,0.671218487394958
17,186,duplicated,103,0.6901260504201682
18,20,distinct,20,0.5724867724867725
18,20,duplicated,18,0.5195767195767196
18,40,distinct,40,0.5841269841269842
18,40,duplicated,34,0.5619047619047619
18,60,distinct,60,0.5301587301587302
18,60,duplicated,42,0.5576719576719577
18,80,distinct,80,0.5767195767195767
18,80,duplicated,56,0.5100529100529101
18,100,distinct,100,0.5227513227513227
18,100,duplicated,69,0.5894179894179895
18,130,distinct,130,0.5904761904761905
18,130,duplicated,78,0.6412698412698412
18,160,distinct,160,0.6158730158730159
18,160,duplicated,88,0.5957671957671957
18,186,distinct,186,0.5777777777777777
18,186,duplicated,108,0.5936507936507937
19,20,distinct,20,0.5015673981191222
19,20,duplicated,19,0.5830721003134797
19,40,distinct,40,0.5381400208986415
19,40,duplicated,32,0.5768025078369906
19,60,distinct,60,0.6781609195402298
19,60,duplicated,49,0.6886102403343782
