rep,Method,Item,Accuracy
4,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.5483870967741935
4,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5714285714285714
4,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.5
4,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.7916666666666666
4,"KNN (Hamming, k=7)",Feeling anxious,0.6875
4,"KNN (Hamming, k=7)",Feeling of guilt,0.48148148148148145
4,"KNN (Hamming, k=7)",Problems of bonding with baby,0.52
4,MICE (logistic),Age,0.2608695652173913
4,MICE (logistic),Feeling sad or Tearful,0.5
4,MICE (logistic),Irritable towards baby & partner,0.4838709677419355
4,MICE (logistic),Trouble sleeping at night,0.4642857142857143
4,MICE (logistic),Problems concentrating or making decision,0.4642857142857143
4,MICE (logistic),Overeating or loss of appetite,0.5833333333333334
4,MICE (logistic),Feeling anxious,0.6875
4,MICE (logistic),Feeling of guilt,0.5555555555555556
4,MICE (logistic),Problems of bonding with baby,0.48
4,MICE (random forest),Age,0.17391304347826086
4,MICE (random forest),Feeling sad or Tearful,0.45
4,MICE (random forest),Irritable towards baby & partner,0.41935483870967744
4,MICE (random forest),Trouble sleeping at night,0.6071428571428571
4,MICE (random forest),Problems concentrating or making decision,0.35714285714285715
4,MICE (random forest),Overeating or loss of appetite,0.75
4,MICE (random forest),Feeling anxious,0.6875
4,MICE (random forest),Feeling of guilt,0.5925925925925926
4,MICE (random forest),Problems of bonding with baby,0.36
4,Iterative MCA (2 dims),Age,0.21739130434782608
4,Iterative MCA (2 dims),Feeling sad or Tearful,0.25
4,Iterative MCA (2 dims),Irritable towards baby & partner,0.3548387096774194
4,Iterative MCA (2 dims),Trouble sleeping at night,0.32142857142857145
4,Iterative MCA (2 dims),Problems concentrating or making decision,0.25
4,Iterative MCA (2 dims),Overeating or loss of appetite,0.7916666666666666
4,Iterative MCA (2 dims),Feeling anxious,0.5
4,Iterative MCA (2 dims),Feeling of guilt,0.6296296296296297
4,Iterative MCA (2 dims),Problems of bonding with baby,0.48
5,Marginal sampling,Age,0.2727272727272727
5,Marginal sampling,Feeling sad or Tearful,0.46153846153846156
5,Marginal sampling,Irritable towards baby & partner,0.20833333333333334
5,Marginal sampling,Trouble sleeping at night,0.47619047619047616
5,Marginal sampling,Problems concentrating or making decision,0.2
5,Marginal sampling,Overeating or loss of appetite,0.6363636363636364
